Dataset,NRMSE,MAE,MSE
RKP,15.5877253545011,1309.71724994176,15943096.1018426
HONDA-Smart-Home,11.3033645729742,38.7940086825609,3363.51505930519
fIEECe,44.4727016386615,0.161755889570033,0.0626107790142655
nrel-res,38.9671465385269,0.176903289930086,0.110226718660957
nrel-com,12.0564116308807,2.648783177168,14.5759776166261
NDB,92.0020799951457,13.1200877954368,636.59873877793
IPC-Commercial,13.4150126403238,41.0551611488777,4040.57991990736
RHC,50.2149594663164,20.7010616371823,1119.04542899181
CEEW,49.8125734840403,0.0650300448944061,0.0135705637449548
ECWM,32.4207115806008,4.19090052565995,30.4627671933383
